"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","450","Buscar um post por ID","","2026-07-08","passed","2026-07-08","","API de Posts","Buscar um post por ID",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","4761","Login com credenciais inválidas","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com credenciais inválidas",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","5002","Login com credenciais inválidas","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com credenciais inválidas",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","115","Atualizar um post existente","","2026-07-08","passed","2026-07-08","","API de Posts","Atualizar um post existente",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","8072","Login com credenciais válidas","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com credenciais válidas",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","38","Buscar post inexistente retorna 404","","2026-07-08","passed","2026-07-08","","API de Posts","Buscar post inexistente retorna 404",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","6715","Login com senha incorreta","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com senha incorreta",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","94","Deletar um post","","2026-07-08","passed","2026-07-08","","API de Posts","Deletar um post",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","524","Validar contrato (schema) do post","","2026-07-08","passed","2026-07-08","","API de Posts","Validar contrato (schema) do post",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","266","Criar um novo post","","2026-07-08","passed","2026-07-08","","API de Posts","Criar um novo post",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","2234","Listar todos os posts","","2026-07-08","passed","2026-07-08","","API de Posts","Listar todos os posts",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","77","Buscar posts de um usuário específico","","2026-07-08","passed","2026-07-08","","API de Posts","Buscar posts de um usuário específico",""
